,
1,.Net,
2,Android,
3,Angular,
4,Automation test,
5,C/C++,
6,CAD,
7,Embedded,
8,Frontend,
9,Java,
10,Manual Test,
11,NodeJS,
12,PHP,
13,Python,
14,React Native,
15,ReactJS,
16,Rec,
17,SaleForce/FE,
18,VueJS,
